lang	name	continent
my	၂၀၁၉-၂၀ ကိုရိုနာဗိုင်းရပ်စ် ဖြစ်ပွားမှု	Asia
nan	COVID-19 tōa-liû-hêng	Asia
nb	Koronaviruspandemien i 2019–2020	Europe
ne	२०१९-२० कोरोना भाइरस प्रकोप	Asia
nl	Coronapandemie	Europe
nn	Koronavirusutbrotet i 2019–2020	Europe
pa	2019–20 ਕੋਰੋਨਾਵਾਇਰਸ ਮਹਾਮਾਰੀ	Asia
pap	Pandemia coronavirus 2019-2020	North America
pl	Pandemia COVID-19	Europe
pt	Pandemia de COVID-19	Universal
qu	2019-2020 Kurunawirus lliw unqurichiq	South America
ro	Pandemia de coronaviroză (COVID-19)	Europe
ru	Пандемия COVID-19	Asia
rue	Пандемія коронавіруса COVID-19	Europe
sah	COVID-19 пандемията	Asia
sat	᱒᱐᱑᱙-᱒᱐ ᱥᱮᱨᱢᱟ ᱨᱮ ᱠᱚᱨᱚᱱᱟ ᱵᱷᱟᱭᱨᱟᱥ ᱨᱮᱭᱟᱜ ᱡᱮᱜᱮᱫ ᱫᱳᱹᱨᱞᱚᱭ	Asia
sc	Pandèmia de COVID-19	Europe
sco	COVID-19 pandemic	Europe
sd	2019–20 ڪوروناوائرس مها وبا	Asia
bat-smg	2019-2020 m. Kuoruonas vėrosa epėdemėjė	Europe
sh	Pandemija koronavirusa 2019/20.	Europe
si	2019–20 කොරෝනාවෛරස ව්යාප්ත වසංගතය	Asia
sk	Pandémia koronavírusu SARS-CoV-2	Europe
sl	Pandemija koronavirusne bolezni 2019	Europe
so	Fayraska faafa ee Korona 2019–20	Africa
sq	Pandemia e COVID-19	Europe
sr	Пандемија вируса корона 2019/20.	Europe
sv	Coronaviruspandemin 2019–2020	Europe
sw	Mlipuko wa virusi vya corona 2019-20	Africa
szl	Pandymijo COVID-19	Europe
ta	2019–20 கொரோனாவைரசுத் தொற்று	Asia
te	2019–20 కరోనావైరస్ మహమ్మారి	Asia
tg	Дунёгирии COVID-19	Asia
th	การระบาดทั่วของไวรัสโคโรนา พ.ศ. 2562–2563	Asia
ti	2019-2020 ኮሮናቫይረስ ለበዳ	Africa
tk	Korona wirusy (2019-2020)	Asia
tl	Pandemya ng COVID-19	Asia
tn	Bolwetse jwa Mogare wa Khorona 2019	Africa
tr	COVID-19 pandemisi	Europe
ug	2019-2020 ۋۇخەن تاجىسىمان ۋىرۇسنىڭ شىددەتلىك تارقىلىشى ۋەقەسى	Europe
uk	Пандемія коронавірусної хвороби 2019	Europe
ur	کورونا وائرس کی عالمی وبا، 2019ء - 2020ء	Asia
uz	COVID-19 pandemiyasi	Asia
ve	Vhulwadze Ha Coronavirus 2019	Africa
vec	Pandemia de COVID-19 del 2019-2020	Europe
vi	Đại dịch COVID-19	Asia
war	Pandemya nga COVID-19	Asia
wo	Jàngoro Koronaawiris 2019	Africa
wuu	2019新型冠状病毒肺炎事体	Asia
xh	Isifo se-Coronavirus 2019	Africa
yo	Àjákálẹ̀ àrùn káàkiriayé èrànkòrónà ọdún 2019-2020	Africa
yue	武漢肺炎大爆發	Asia
zh	2019冠状病毒病疫情	Asia
zu	Isifo seCoronavirus 2019	Africa
